Company_Name,Short_Description,RE_Strategy_Codes,RE_Strategy_Names,City,Region,Country
Zoeller-Kipper,"Zoeller-kipper is a manufacturer and supplier of refuse collection vehicles, lifters, assistance systems, and loaders for industries.",R0,Refuse,Mainz,Rheinland-Pfalz,Germany
Rudolf Schuy,Rudolph Schuy is a scrap trading company that disposes and recycles metals.,R8,Recycle,Limburg,Hessen,Germany
Westro,"Westro designs, installs, repairs, and maintains furnace and steel apparatus pipeline construction.",R4,Repair,Oberhausen,Nordrhein-Westfalen,Germany
Weilandt Elektronik,"Weilandt Elektronik repairs portable data terminals, mobile computers, hand scanners and label printers.",R4,Repair,Essen,Nordrhein-Westfalen,Germany
Schmeisser,"Schmeisser manufactures, sells, and repairs handguns for hunters and sports shooters.",R4,Repair,Krefeld,Nordrhein-Westfalen,Germany
Klima Becker Full Service,"Klima Becker Full Service offers maintenance, repair, control, and inspection services for refrigeration, air conditioning, and ventilation.",R4,Repair,Saarbrücken,Saarland,Germany
Unitor Torsysteme,"Unitor Torsysteme manufactures, assembles, maintains, and repairs gate systems.",R4,Repair,Jemgum,Niedersachsen,Germany
Buhl-PaperForm,"Buhl-PaperForm manufactures eco-friendly, customer-specific packaging solutions using recovered paper.",R9,Recover,Burbach,Nordrhein-Westfalen,Germany
Aircraft shipyard Bonn-Hangelar,"Aircraft shipyard Bonn-Hangelar installs, maintains, and repairs avionics systems and panel layouts.",R4,Repair,Sankt Augustin,Nordrhein-Westfalen,Germany
Nateka,"Nateka provides repair and installation services for telephone systems, IT technology, and radio systems.",R4,Repair,Neubrandenburg,Mecklenburg-Vorpommern,Germany
Springer,"Springer is a manufacturer and supplier of pipe clamps reducers, tees, elbows, and flanges.",R2,Reduce,Nettetal,Nordrhein-Westfalen,Germany
Autohaus Brandt,"Autohaus Brandt is an automotive company that provides glass repair, maintenance packages, spare parts, and accessories.",R4,Repair,Weyhe,Niedersachsen,Germany
A-SPT Protective Solutions,A-SPT Protective Solutions GmbH specializes in heavy-duty corrosion protection and tailored refurbishment solutions.,R5,Refurbish,Marl,Niedersachsen,Germany
I.G. Giourouk,"I.G. Giourouk specializes in ship repair and offers services, including dry docking, hull repairs, machinery repairs, and refit work.",R4,Repair,Hamburg,Hamburg,Germany
Filiz Environmental Technology,"Filiz Environmental Technology installs, maintains, and repairs waste water treatment plants and drainage systems.",R4,Repair,Steinfurt,Nordrhein-Westfalen,Germany
Klose,"Klose designs, creates, installs, refurbishes, and maintains train stop systems.",R5,Refurbish,Mettingen,Nordrhein-Westfalen,Germany
Voets Autozentrum,"Voets Autozentrum provides a selection of new and pre-owned multi-branded cars with financing, leasing, rental, sales and repair services.",R4,Repair,Braunschweig,Niedersachsen,Germany
GMT Group,"GMT Group manufactures and distributes components and systems to reduce noise, shock and vibration to various industries.",R2,Reduce,Bühl,Baden-Wurttemberg,Germany
FFG Flensburger Fahrzeugbau Gesellschaft mbH,"FFG is a vehicle maintenance, repair, overhaul, and development and production company for civilian and military vehicles.",R4,Repair,Flensburg,Schleswig-Holstein,Germany
Auto Niedermayer,Auto Niedermayer is a car dealership company that offers used car selling and car repairing services.,R4,Repair,Neukirchen,Hessen,Germany
Kedek,"Kedek distributes, repairs, and services machines, systems, and devices for the separation of mechanical and thermal phases.",R4,Repair,Bayreuth,Bayern,Germany
Popp Fahrzeugbau,Popp Fahrzeugbau is a manufacturer of automotive vehicles such as cars and trucks also provides repair and maintenance services.,R4,Repair,Nürnberg,Bayern,Germany
Meltech,"Meltech manufactures, supplies, installs, repairs, and maintains hot melt adhesive systems.",R4,Repair,Adendorf,Sachsen-Anhalt,Germany
OPERATEC,OPERATEC is a service provider that offers repair and spare parts for household appliances of various brands.,R4,Repair,Cottbus,Brandenburg,Germany
AMC Industrial Technology,"AMC Industrial Technology repairs and maintains pumps, mechanical seals, and agitators.",R4,Repair,Kronau,Baden-Wurttemberg,Germany
Plickert Glasereibetriebe,"Glasereibetriebe manufactures glasses for facades, interiors, and roofs as well as dwell, renovation, repair, and emergency services.",R4,Repair,Berlin,Berlin,Germany
ASG IT,"ASG IT offers IT consulting, software development, internet, troubleshooting, and repair services.",R4,Repair,Wilhelmshaven,Niedersachsen,Germany
Partzsch Group,"Partzsch manufactures, processes, and repair components for the electrical engineering sector.",R4,Repair,Döbeln,Sachsen,Germany
Mahler AGS,"Mahler AGS is a machinery manufacturer that supplies oxygen plants inert gas systems, and hydrogen plants for cleaning and recovering gases.",R9,Recover,Stuttgart,Baden-Wurttemberg,Germany
Elektro Bügers,Elektro Bügers is an electronics repair store.,R4,Repair,Dorsten,Nordrhein-Westfalen,Germany
Mevisco,"Mevisco provides laboratory testing, remote service, service technician, spare parts, and repairs for image processing systems.",R4,Repair,Bremen,Bremen,Germany
Stormport,"Stormport is a provider of electricity network asset installation, maintenance and repair services.",R4,Repair,Cambs,Mecklenburg-Vorpommern,Germany
Ternum Internet Services,"Ternum Internet Services is providing IT solutions like Web Development, Web Hosting, Cloud Services, and Data Recovery.",R9,Recover,Hamburg,Hamburg,Germany
Mediteo,Mediteo emphasis the improvement of patients wellbeing and reduce healthcare cost with digital solutions to handle medication.,R2,Reduce,Heidelberg,Baden-Wurttemberg,Germany
Noris Gastro Service,"Noris Gastro Service sells, installs, repairs, and maintains bar counters, refrigeration, and dispensing systems.",R4,Repair,Fürth,Bayern,Germany
CoKom,"CoKom is an IT company that offers VoIP, internet, and IT service to the customer with advice, installation, programming, & repair services.",R4,Repair,Wertheim,Baden-Wurttemberg,Germany
ComputerSoftware Löwer,ComputerSoftware Lower is an IT company that offers software solutions to reduce calculation work with training and consulting services.,R2,Reduce,Erfurt,Thuringen,Germany
EEP,EEP supplies fully-automated electro-hydraulic longwall control systems for all machines as well as offers maintenance and repair services.,R4,Repair,Gelsenkirchen,Nordrhein-Westfalen,Germany
Pharma Test,"Pharma Test manufactures and supplies galenic instruments and dissolution testing and offers repair, installation, and financial services.",R4,Repair,Hessen,Sachsen-Anhalt,Germany
Niepman,"Niepman installs, repairs, and maintains HVAC systems.",R4,Repair,Düsseldorf,Nordrhein-Westfalen,Germany
Restemeier GmbH,A medium-sized company specializing in repairs of cars,R4,Repair,Osnabrück,Niedersachsen,Germany
Hifiboehm,"Hifiboehm delivers complete consumer electronics, household appliances, and telecommunication products as well as offers repair services.",R4,Repair,Plauen,Sachsen,Germany
W.C. McQuaide,"W.C. McQuaide is a logistics company that provides warehousing, storage trailer rental, truck, and auto repair services.",R4,Repair,Pausa,Sachsen,Germany
ALPHA ComCenter,"ALPHA ComCenter specializes in outsourcing and handles customer generation, sales, customer recovery, database management and consulting.",R9,Recover,Ludwigshafen,Rheinland-Pfalz,Germany
Niedermayr,"Niedermayr specializes in stone chip repair, on-site installation of glass for construction machinery, and replacing windshields.",R4,Repair,Stephanskirchen,Bayern,Germany
Leocom,"Leocom provides IT service, logistics, IT security, virus protection, data recovery, and remote maintenance services.",R9,Recover,Leopoldshöhe,Nordrhein-Westfalen,Germany
Rapstruck,Rapstruck is a company for the repair of engine and other control devices.,R4,Repair,Wennigsen,Niedersachsen,Germany
August Steinmeyer,"August Steinmeyer manufactures a wide range of ball screws, rotating nuts, precision lead screws as well as provides repair services.",R4,Repair,Albstadt,Bayern,Germany
AeroMates,"AeroMates provides maintenance, repair, and overhaul services for the aviation industry.",R4,Repair,Niederkassel,Nordrhein-Westfalen,Germany
Bomafa,"Bomafa is an industrial engineering company that focuses on coatings, drives, and fitting products and also offers on-site repair services.",R4,Repair,Bochum,Nordrhein-Westfalen,Germany
Certified Senders Alliance,Certified Senders Alliance offers certification to enhance email deliverability and reduce spam.,R2,Reduce,Köln,Nordrhein-Westfalen,Germany
Glass of Donges Sobek,"Glass of Donges Sobek specializes in glass door installation, repair, grinding, assembly, and rental services.",R4,Repair,Köln,Nordrhein-Westfalen,Germany
TKS,TKS is a home renovation company that specializes in refurbishment and renovation for the hotel and commercial industry.,R5,Refurbish,Borken,Hessen,Germany
ROI≡EFESO,"ROI≡EFESO helps reduce costs in the supply chain, accelerate the innovation cycle, and make processes and technologies flexible.",R2,Reduce,Munich,Bayern,Germany
HMB LINTEC marine,"HMB Lintec Marine manufactures and distributes electric, hydraulic lifting, and loading systems and offers spare parts and repair services.",R4,Repair,Buxtehude,Niedersachsen,Germany
Sparsa AI,Sparsa AI enhances Manufacturing SMEs' profitability with AI Agents and reduces computation costs of large AI models.,R2,Reduce,Munich,Bayern,Germany
Ulrich Mueller,"Ulrich Mueller repairs and maintains ventilation, air conditioning, refrigeration, and fire protection technology.",R4,Repair,Waldenburg,Sachsen,Germany
Divi XYZ Media,Divi XYZ Media has a keen understanding of data aggregation and core trend recognition which helps us to reduce potential market risk.,R2,Reduce,Berlin,Berlin,Germany
LichtJa,LichtJa consults and helps design private and commercial spaces with lightning as well as handles repair and installation services.,R4,Repair,Hamburg,Hamburg,Germany
RBS Wave,"RBS Wave offers energy recovery, water loss management, and industrial construction services.",R9,Recover,Stuttgart,Baden-Wurttemberg,Germany
MICON-Drilling,"MICON-Drilling specializes in the design, production, inspection, and repair of drill string components.",R4,Repair,Nienhagen,Niedersachsen,Germany
Voßloh Computer & Components,"Voßloh Computer & Components expertise in virtualization, security, cloud services, internet, license monitoring, theft, repair & cleaning.",R4,Repair,Plettenberg,Nordrhein-Westfalen,Germany
Endorepair,"Endorepair maintains, repairs, and sells endoscopes, ultrasound probes, and technical-medical devices.",R4,Repair,Weßling,Bayern,Germany
Leather Center,"Leather Center manufactures and sells leather cleaners, stain removal products, and repair products.",R4,Repair,Rosdorf,Niedersachsen,Germany
Druschke Group,Druschke Group is a vacuum service company that offers vacuum pump repair and leak testing services.,R4,Repair,Gelnhausen,Hessen,Germany
Neils & Kraft,"Neils & Kraft is a retailer that offers car and van rental, maintenance, and repair services.",R4,Repair,Gießen,Hessen,Germany
OFRU Recycling,"OFRU Recycling develops, produces, and sells systems to recycle contaminated combustible solvents or cleaning agents.",R8,Recycle,Alzenau,Bayern,Germany
Heizung Sanitar Haustechnik,"HSH renders professional services and solutions in heating, sanitary, ventilation with installation, and repair services.",R4,Repair,Leipzig,Sachsen,Germany
Polstermöbel Oelsa,"Polstermöbel Oelsa is a manufacturer of functional upholstered furniture, leather collections and accessories along with repair services.",R4,Repair,Rabenau,Sachsen,Germany
Phone Service,Phone Service is an online portal that helps organizations and individuals with software solutions and mobile repair services.,R4,Repair,Stuttgart,Baden-Wurttemberg,Germany
AUTO plus Autoservice und Autoteile,AUTO plus Autoservice und Autoteile is a car repair chain that also sells car parts and accessories online.,R4,Repair,Wolfsburg,Niedersachsen,Germany
Golf Partner,Golf Partner is an online store for golf accessories and offers advice on club fitting with repair services.,R4,Repair,Hürth,Nordrhein-Westfalen,Germany
CEDEN,"CEDEN is rethinking the way humans consume by offering the world's first home grow system, inspired by nature.",R1,Rethink,Berlin,Berlin,Germany
Werkstätten,"Werkstätten manufactures, supplies, repairs, and maintains stainless steel conveyor systems and storage containers.",R4,Repair,Nordhorn,Niedersachsen,Germany
Elektromaschinenbau Hans-Dieter Ploog,Elektromaschinenbau Hans-Dieter Ploog provides services and repairs in electrical machinery construction.,R4,Repair,Rendsburg,Schleswig-Holstein,Germany
Autohaus Meyer,"Autohaus Meyer provides vehicle rental, car repair, and vehicle financing services.",R4,Repair,Harkebrügge,Niedersachsen,Germany
Lutz Screw Tools,"Lutz Screw Tools is an online shop that sells, assembles, repairs, and services.",R4,Repair,Gersthofen,Bayern,Germany
EndoComplete,"EndoComplete provides a wide range of services for endoscopes, including repair, maintenance, training, and consulting.",R4,Repair,Schönberg,Schleswig-Holstein,Germany
IDS Miesbach,"IDS Miesbach specializes in servicing, repairing, and maintaining paper machines, and supplying spare parts.",R4,Repair,Mosbach,Baden-Wurttemberg,Germany
Motorrad Dake,"Motorrad Dake is a marketplace for vehicles to purchase, sell, rent, and repair service of motorcycles.",R4,Repair,Göttingen,Niedersachsen,Germany
KW Kranwerke,"KW Kranwerke is a crane construction company that offers remote maintenance, repair, and spare parts services.",R4,Repair,Mannheim,Baden-Wurttemberg,Germany
Picapica,Picapica is a platform that allows the user to check written work on the existence of text-reuse/plagiarism,R3,Reuse,Weimar,Thuringen,Germany
Sieslack,"Sieslack is an authorized Lenovo store that offers Lenovo products, IT services, spare parts, and repairs.",R4,Repair,Hamburg,Hamburg,Germany
Menerga,"Menerga provides ventilation, air conditioning systems, spare parts, repairs, refrigeration, heating, emergency and technical services.",R4,Repair,Mülheim An Der Ruhr,Nordrhein-Westfalen,Germany
Siegmann + Schroder,"Siegmann + Schroder specializes in providing fulfillment, refurbishment, retail displays, and customer services to various sectors.",R5,Refurbish,Hamburg,Hamburg,Germany
Ökotec Energiemanagement,Ökotec Energiemanagement offers consulting services such as energy usage audits to reduce energy consumption and improve energy efficiency.,R2,Reduce,Berlin,Berlin,Germany
KH-Automation Projects GmbH,"KH-Automation Projects GmbH provides automation solutions for power, refuse incineration, sewage treatment, and drinking water plants. ",R0,Refuse,Fuldabrück,Hessen,Germany
Buss Energy Group,"Buss Energy Group provides services in onshore and offshore wind energy, including installation, maintenance, and repair of wind turbines.",R4,Repair,Hamburg,Hamburg,Germany
Zentrale Autoglas,"Zentrale Autoglas offers mobile glazing services for vehicles, including repair and replacement of auto glass.",R4,Repair,Melle,Niedersachsen,Germany
Autohaus Ostermaier,"Autohaus Ostermaier is a car dealership that sells new and used cars including repair, maintenance, and overhaul services.",R4,Repair,Vilsbiburg,Bayern,Germany
Otto Zimmerman,"Otto Zimmerman supplies, repairs, and maintains hydraulics, pneumatics, and electronic products.",R4,Repair,Saarbrücken,Saarland,Germany
Djm Computer Repair,"Djm Computer Repair specializes in hardware and software repairs, upgrades, and reconditioning of laptops, tablets, and desktops.",R4,Repair,Deuselbach,Rheinland-Pfalz,Germany
KENTER HAGRO,"KENTER HAGRO is a wholesaler of floor cleaning machines, cleaning systems, robots, and offers repair services.",R4,Repair,Leipheim,Bayern,Germany
Krause & Co,"Krause & Co specializes in buildings, industrial construction, civil engineering, pipelines, concrete repair, and hydraulic engineering.",R4,Repair,Neukirchen,Hessen,Germany
Rohrman welding technology,Rohrman welding technology manufactures and repairs robot welding torches and autodim protective helmets for the welding trade industry.,R4,Repair,Viersen,Nordrhein-Westfalen,Germany
Ivanovsky,"Ivanovsky is an HVAC contracting company that provides advice, planning, assembly, repair, and services.",R4,Repair,Iserlohn,Nordrhein-Westfalen,Germany
Zimmerman Cosmetologist Service,"Zimmerman Cosmetologist Service specializes in repair, maintenance, and cleaning services for properties.",R4,Repair,Kaiserslautern,Rheinland-Pfalz,Germany
GRUNLER,"GRUNLER is a most trusted brand in Refurbished Textile, Offset Printing, Medical equipments industry.",R5,Refurbish,Deutsch,Sachsen,Germany
Pro Flow,"Pro Flow designs, manufactures, installs, repairs, and maintains baggage handling systems.",R4,Repair,Leichlingen,Nordrhein-Westfalen,Germany
Rexroth,"Rexroth is an HVAC company that offers air heat pumps, thermal solar system installation construction, repair, and maintenance services.",R4,Repair,Augsburg,Bayern,Germany
Gentleman Trading,Gentleman Trading offers commercial and technical solutions to reduce electricity and heating costs.,R2,Reduce,Puchheim,Bayern,Germany
Pfalzwerke Netz,"Pfalzwerke Netz provides the state-of-the-art network infrastructure that focuses on monitoring, maintenance and repair of the power grid.",R4,Repair,Ludwigshafen Am Rhein,Rheinland-Pfalz,Germany
TTG,"TTG provides software, IT security, and office supplies also consults in repair and install services for computer systems.",R4,Repair,Dingelstädt,Thuringen,Germany
Captain Guitar Lounge,"Captain Guitar Lounge manufactures and supplies custom and standard guitars, bass, amplifier, and floorboards and provides repair services.",R4,Repair,Emmering,Bayern,Germany
Abcdata,Abcdata is a computer solution and service provider that expertise in the area of ​​hardware and software installation and repairs.,R4,Repair,Köln,Nordrhein-Westfalen,Germany
MS POS,"MS POS is an IT consulting firm that offers hardware, software, repair, and support for POS in the trade and gastronomy industry.",R4,Repair,Willich,Nordrhein-Westfalen,Germany
HIWIN GmbH,Hiwin GmbH is specialized in manufacturing fabricated metal and hardware products and also provides service and repairs.,R4,Repair,Offenburg,Baden-Wurttemberg,Germany
Hilton Kommunal,"Hilton Kommunal manufactures cleaning, shunting, mounting, and road-rail vehicles as well as offers spare parts and repair services.",R4,Repair,Gehrden,Niedersachsen,Germany
H. Ganslmeier - Motoren- und Maschineninstandsetzungs,"H. Ganslmeier - Motoren- und Maschineninstandsetzungs provides engine repair, mechanical engineering, car, and parts trading services.",R4,Repair,Landshut,Bayern,Germany
Eigenheim Manager,"Eigenheim Manager is a software for reduce consumption in house, reduce costs, secure documents and increase the value.",R2,Reduce,Leipzig,Sachsen,Germany
RIS Group,RIS Group is a maintenance and service firm that provides industrial and electronic engineering and repair services.,R4,Repair,Eppingen,Baden-Wurttemberg,Germany
Heinrich Göbel,Heinrich Göbel is a car dealership that provides various brands of new and used cars for sale and purchase and offers car repair services.,R4,Repair,Neu Isenburg,Hessen,Germany
aixTeMa,"aixTeMa is a sales support firm that offers repair and reworking for manufacturers in the telecommunications, electronics, and IT sectors.",R4,Repair,Aachen,Nordrhein-Westfalen,Germany
Neuero Technology,"Neuero Technology designs, manufactures, maintains, and repairs rail vehicles and mechanical equipment.",R4,Repair,Melle,Niedersachsen,Germany
Rethink,"Rethink is a public relation company that specializes in digital strategy, content marketing, social media, and virtual reality experiences.",R1,Rethink,Berlin,Berlin,Germany
Dein Schrauberplatz,"Dein Schrauberplatz provides 24/7 screwing, dismantling, overhauling, and repair services, as well as a lifting platform.",R4,Repair,Neuss,Nordrhein-Westfalen,Germany
Paal,"Paal is a manufacturing company that provides a large selection of construction machines, mechanical engineering, and repair services.",R4,Repair,Erbach,Hessen,Germany
MasCom Technologies,"MasCom Technologies sells, repairs, and services vacuum components, peripheral instruments, MS spare parts, and accessories.",R4,Repair,Bremen,Bremen,Germany
Nölle + Nordhorn,"Nölle + Nordhorn is a wholesaler for pneumatics, hydraulics, drive technology and tool manufacturing, repair and overhaul services.",R4,Repair,Gütersloh,Nordrhein-Westfalen,Germany
Antros,Antros offers maintenance and repair services for storage systems.,R4,Repair,Holzgerlingen,Baden-Wurttemberg,Germany
Thiemann,"Thiemann renders repair, electrical engineering, laser alignment, and assembly, vibration, and shaft tension measurement services.",R4,Repair,Bockhorn,Bayern,Germany
Gebr. Friedrich,"Gebrüder Friedrich GmbH & Co. KG specializes in ship construction, maintenance, and repair, combining tradition with modernity.",R4,Repair,Kiel,Schleswig-Holstein,Germany
Laughing Canteen Kitchens,Laughing Canteen Kitchens repairs and maintains commercial kitchen equipment.,R4,Repair,Darmstadt,Hessen,Germany
Happich Innovation,Happich Innovation manufactures injection-molded plastic parts and recycled polypropylene hollow bodies for various applications.,R8,Recycle,Idar-oberstein,Rheinland-Pfalz,Germany
Plus.line,"Plus.line is an IT firm that offers web hosting, network security, disaster recovery solutions, internet access, and data center.",R9,Recover,Frankfurt An Der Oder,Brandenburg,Germany
Kfz Service und Stahlbau Perleberg,Kfz Service und Stahlbau Perleberg offers vehicle repair and steel construction services.,R4,Repair,Perleberg,Brandenburg,Germany
Ernest Bergau,"Ernest Bergau installs, repairs, and maintains computer systems.",R4,Repair,Stade,Niedersachsen,Germany
Heinlein,Heinlein provides a wide range of mechanical and electromechanical office equipment with sale and repair services for organizations.,R4,Repair,Heidelberg,Baden-Wurttemberg,Germany
Nold Hydraulics + Pneumatics,"Nold Hydraulics + Pneumatics manufactures, repairs, and maintains hydraulics, pneumatics, and electropneumatics.",R4,Repair,Bad Waldsee,Baden-Wurttemberg,Germany
Lack & Karosserie Reit,"Lack & Karosserie Reit specializes in vehicle repair work, vehicle paintwork, towing, and rental car services.",R4,Repair,Rommelshausen,Baden-Wurttemberg,Germany
Klio-Eterna Schreibgeräte,Klio-Eterna Schreibgeräte develops and manufactures a wide range of recycled plastic pens for promotion and corporate advertising.,R8,Recycle,Wolfach,Baden-Wurttemberg,Germany
Hipp Endoskop Service,Hipp Endoskop Service manufactures and repairs medical and industrial endoscopes.,R4,Repair,Freiburg,Baden-Wurttemberg,Germany
Calorplast Heat Technology,Calorplast Heat Technology develops and produces plastic heat exchangers for heat recovery applications.,R9,Recover,Krefeld,Nordrhein-Westfalen,Germany
LEITENBERGER Group,LEITENBERGER Group offers automotive products such as engines and repair services.,R4,Repair,Kirchentellinsfurt,Baden-Wurttemberg,Germany
Riedl Elevator,"Riedl Elevator is an elevator manufacturing company that offers elevator repair, maintenance, and risk assessment services.",R4,Repair,Feldkirchen,Bayern,Germany
Die Werkzeugprofis.de,Die Werkzeugprofis.de provides online selling and repairing services of industrial tools & machinery.,R4,Repair,Regensburg,Bayern,Germany
mg-sensor,"mg-sensor specialises in the design, manufacture, calibration, and repair of a wide range of force sensors.",R4,Repair,Rhein,Baden-Wurttemberg,Germany
industrypart,Industrypart is a service company that focuses on the series repair of drive electronics from processing machines.,R4,Repair,Bensheim,Hessen,Germany
Holzbau Becker,"Holzbau Becker is a civil engineering company that offers loft conversion, refurbishment, carpentry, and thermal insulation services.",R5,Refurbish,Friedrichsdorf,Hessen,Germany
RaBo homerepair,Rabo is a provider of repair and maintenance of electronics.,R4,Repair,Berlin,Berlin,Germany
Rovak,"Rovak offers customized vacuum technology and engineering services, specializing in system design, repair, and maintenance.",R4,Repair,Grumbach,Rheinland-Pfalz,Germany
Weselmann,"Weselmann offers ship valuations, damage surveys, and repair supervision services for the shipping industry.",R4,Repair,Hamburg,Hamburg,Germany
SMA Computer,SMA Computer provides repair services.,R4,Repair,Neureichenau,Bayern,Germany
DanFlex,"DanFlex is a medical technology firm that specializes in dental equipment, medical practices, maintenance, and repair.",R4,Repair,Hamburg,Hamburg,Germany
Danova,Danova is an information technology company that specializes in cybersecurity and data recovery services.,R9,Recover,Königsfeld,Baden-Wurttemberg,Germany
GOODZ Club,Circular Commerce for refurbished household appliances,R5,Refurbish,Berlin,Berlin,Germany
Ambrock,"Ambrock specializes in house painting, concrete repair, corrosion protection, thermal insulation and fire protection coating services.",R4,Repair,Hagen,Nordrhein-Westfalen,Germany
Vemes,Vemes is a commercial vehicle repair center that rents and repairs trucks and trailers.,R4,Repair,Leipzig,Sachsen,Germany
denkform,"denkform is an IT company specialized in IT consulting, computer repair and software development services.",R4,Repair,Wiesbaden,Hessen,Germany
IT-triple S,"IT-triple S provides monitoring, repair, switching, network components, installation, security, on-site, and remote maintenance services.",R4,Repair,Hösbach,Bayern,Germany
Talbot,"Talbot specializes in rail car repair, retrofitting, maintenance, and component manufacturing.",R4,Repair,Aachen,Nordrhein-Westfalen,Germany
Monting,"Monting is a montage service firm providing assembly, repairs, trade, and investment services for industrial and infrastructural projects.",R4,Repair,Salzkotten,Nordrhein-Westfalen,Germany
Esders,"Esders provides functional tests, maintenance, and repairs.",R4,Repair,Haselünne,Niedersachsen,Germany
UTW Services,"UTW Services specializes in the installation, repair, and maintenance of wind turbines.",R4,Repair,Hamm,Nordrhein-Westfalen,Germany
Jülich,"Jülich offers configuration of networks, planning networks, on-site repairs, hardware, and software delivery service, etc.",R4,Repair,Nörvenich,Nordrhein-Westfalen,Germany
Servant Electronic,"Servant Electronic designs, manufactures, supplies, installs, repairs, and maintains plasma systems and parylene coating equipment.",R4,Repair,Ebhausen,Baden-Wurttemberg,Germany
BZS,"BZS is a vehicle repair shop that offers maintenance, vehicle construction, repair, and mobile services for cars, vans, and trailers.",R4,Repair,Einbeck,Niedersachsen,Germany
Habermann Aurum Pumpen,"Habermann Aurum Pumpen offers manufacturing, installation, repair, and delivery of pumps, fittings, and suction dredger products.",R4,Repair,Bochum,Nordrhein-Westfalen,Germany
Dr Schütz Engineers,"Dr Schütz Engineers provides refurbishment, vibration measurements, and building monitoring for the construction industry.",R5,Refurbish,Kempten,Bayern,Germany
RHM,RHM is a producer and supplier of recycled raw materials for steelworks and foundries.,R8,Recycle,Mülheim An Der Ruhr,Nordrhein-Westfalen,Germany
Special Blade Service,"Special Blade Service specializes in repair, maintenance, and optimization of rotor blades for wind turbines.",R4,Repair,Bad Bentheim,Niedersachsen,Germany
LS Lighting Solutions,"LS Lighting Solutions designs, installs, repairs, maintains, and sells lighting systems.",R4,Repair,Lilienthal,Niedersachsen,Germany
Rink Electrical Installation,"Rink Electrical Installation specializes in electrical repair and installation for commercial, industrial, and residential applications.",R4,Repair,Erfurt,Thuringen,Germany
Minrath Gruppe,Minrath Gruppe specializes in the automotive industry with repair and installation services for private and commercial customers.,R4,Repair,Moers,Nordrhein-Westfalen,Germany
KoRo RIW,"KoRo RIW is a manufacturing company that produces crane components and provides repair, maintenance, and training services.",R4,Repair,Arnsberg,Nordrhein-Westfalen,Germany
Smart Repair,"Smart Repair specializes in mobile phones, smartphones, and tablet repair services.",R4,Repair,Munich,Bayern,Germany
Csc-mann,"Csc-mann is into IT services and offers data recovery, storage, retrieving, protection, quality assurance, and cloud computing.",R9,Recover,Schkeuditz,Sachsen,Germany
NOPA Industrial Fittings,"NOPA Industrial Fittings manufactures, maintains, repairs, and supplies industrial fittings and accessory components.",R4,Repair,Eisenhüttenstadt,Brandenburg,Germany
Europe Direct,"Europe Direct is an industrial electronic equipment purchasing company that supplies, repairs, and maintains machines and spare parts.",R4,Repair,Erding,Bayern,Germany
alt consulting,"alt consulting specializes in audit and reporting, accounting, transactions and financing, and recovery and crisis management.",R9,Recover,Fulda,Hessen,Germany
Hakvoort Hanko,"Hakvoort Hanko is an automotive store that provides online booking, maintenance, dents, and accident repair services.",R4,Repair,Neuwied,Rheinland-Pfalz,Germany
Whyres-Wheels & Tyres,Whyres-Wheels & Tyres is a tyre repair shop.,R4,Repair,Reutlingen,Baden-Wurttemberg,Germany
ReBeam,"ReBeam is an e-commerce website that sells a wide range of used and refurbished projectors, lenses, and accessories.",R5,Refurbish,Berlin,Berlin,Germany
Afc Elektronic,"Afc Elektronic provides server, PC and laptop sale, registered Apple reseller, computer repair service, Tariff advice, etc.",R4,Repair,Ochsenfurt,Bayern,Germany
Magnesium Solutions Europe,"Magnesium Solutions Europe is a metals recycling business focused on the recovery of valuable magnesium, aluminium and iron.",R9,Recover,Sondershausen,Thuringen,Germany
Hamburg scale construction,"Hamburg scale construction Installs, maintains, and repairs weighing systems",R4,Repair,Bardowick,Niedersachsen,Germany
DEW Maintenance & Repair,DEW Maintenance & Repair manufactures liner systems and manufacturing products for the oil and gas production industries.,R4,Repair,Goldenstedt,Niedersachsen,Germany
Sasse,Sasse sells pumps and compressors as well as offers installation and onsite repair services.,R4,Repair,Berlin,Berlin,Germany
MB Bladeservice,"MB Bladeservice is a consultancy firm that provides wind turbine inspection, installation, cleaning, and repair services.",R4,Repair,Einbeck,Niedersachsen,Germany
Intercopter,"Intercopter specializes in spare parts supply, repair, and maintenance services for helicopters.",R4,Repair,Taufkirchen,Bayern,Germany
LTB400 Aviation Software,LTB400 Aviation Software provide a maintenance management system for aviation companies in the repair and overhaul business.,R4,Repair,Hallbergmoos,Bayern,Germany
Cotac,"Cotac provides tank heating, cleaning, repair and installation services.",R4,Repair,Cologne,Nordrhein-Westfalen,Germany
Nobleglass,Nobleglass specializes in the replacement of vehicle windows and the repair of damaged glass.,R4,Repair,Kolbermoor,Bayern,Germany
Comsmile,"Comsmile provides repair services for laptops, PCs, and smartphones.",R4,Repair,Stuttgart,Baden-Wurttemberg,Germany
LRT,"LRT GmbH Tharandter Baumaschinenservice offers construction machinery services, including maintenance and repair.",R4,Repair,Dresden,Sachsen,Germany
GBM track construction mechanics Brandenburg,"GBM offers vehicle modernization, renovation, rail track extension, maintenance, and repair services.",R4,Repair,Brandenburg,Brandenburg,Germany
Servion Service & Support,Servion service & support repairs and services notebooks and PCs.,R4,Repair,Stuttgart,Baden-Wurttemberg,Germany
